ID.,HSWIM Ticket No.,HSWIM Date Time,HSWIM Vehicle Class,HSWIM Axle Conf,HSWIM Registration,Axle 1,Axle 2,Axle 3,Axle 4,Axle 5,Axle 6,Axle 7,Axle 8,Axle 9,Called In,Static Date,Ticket No,Station,Registation,Source,Destination,Cargo,Group 1,Group 2,Group 3,Group 4,Status,State,Static GVW,HSWIM GVW,Difference
"1","2063161","2022-07-25 22:16:24","26","6C","UNKNOWN_E","5120","6697","9085","8312","8402","8743","0","0","0","YES","0001-01-01 00:00:00","","","","","","","0","0","0","0","","","0","46359","0"
"2","0","2022-07-25 22:16:24","26","6C","UNKNOWN_E","5120","6697","9085","8312","8402","8743","0","0","0","YES","0001-01-01 00:00:00","","","","","","","0","0","0","0","","","0","46359","0"
"3","2063167","2022-07-25 22:18:20","26","6C","KDB057P","5042","11093","5718","7948","7797","8107","0","0","0","YES","0001-01-01 00:00:00","","","","","","","0","0","0","0","","","0","45705","0"
"4","0","2022-07-25 22:18:20","26","6C","KDB057P","5042","11093","5718","7948","7797","8107","0","0","0","YES","2022-07-25 22:20:39","BSKMA202207010886","BSKM","KDB057P","KISUMU","BUSIA","FUEL","6020","18220","24420","0","W","null","48660","45705","2955"
"5","2063168","2022-07-25 22:19:17","26","6C","KBR016C","7481","560","13169","8430","9148","8975","0","0","0","YES","0001-01-01 00:00:00","","","","","","","0","0","0","0","","","0","47763","0"
"6","0","2022-07-25 22:19:17","26","6C","KBR016C","7481","560","13169","8430","9148","8975","0","0","0","YES","2022-07-25 22:22:32","BSKMA202207010887","BSKM","KBR016C","KISUMU","KAMPALA","FUEL","7100","14480","24600","0","W","null","46180","47763","-1583"
"7","2063218","2022-07-25 22:36:29","26","6C","KAS118Y","4694","8085","9721","7599","8613","7857","0","0","0","YES","0001-01-01 00:00:00","","","","","","","0","0","0","0","","","0","46569","0"
"8","0","2022-07-25 22:36:29","26","6C","KAS118Y","4694","8085","9721","7599","8613","7857","0","0","0","YES","2022-07-25 22:38:07","BSKMA202207010888","BSKM","KAS118Y","SONY","KAMPALA","MOLASSES","4940","18520","23880","0","W","null","47340","46569","771"
"9","2063290","2022-07-25 23:02:06","26","6C","UNKNOWN_E","5779","6968","10371","8715","9769","10391","0","0","0","YES","0001-01-01 00:00:00","","","","","","","0","0","0","0","","","0","51993","0"
"10","2063329","2022-07-25 23:16:25","26","6C","UNKNOWN_E","5942","1616","12141","10164","9056","7258","0","0","0","YES","0001-01-01 00:00:00","","","","","","","0","0","0","0","","","0","46177","0"
