Title,Issue,Status,DateResolved,DateRaised,Asignee,RaisedBy
Permit Autoblocking,Permit Autoblocking,Pending,,23/1/2024,zotieno,dg@kenha.co.ke
WideLoad Prosecution,WideLoad Prosecution,Pending,,12/2/2024,micna,dg@kenha.co.ke
Overload Computation by volume,Overload Computation by volume,Pending,,12/2/2024,micna,dg@kenha.co.ke
Redesigning HSWIM Dashboard,Redesigning HSWIM Dashboard,Pending,,12/2/2024,mcna,dg@kenha.co.ke
HSWIM Report,HSWIM vs Static Evaluation Report improvement,Pending,,23/2/2024,zotieno,dg@kenha.co.ke
Ticket Narration,Allow DM to view narration on Ticket Cancellation,Pending,,23/2/2024,micna,dg@kenha.co.ke
Prosecution Module,Chage of Delete Option in prosecution module to Cancel,Pending,,20/2/2024,micna,dg@kenha.co.ke
Weighing,Manual Weighing,Pending,,20/2/2024,micna,dg@kenha.co.ke
Reweighs,Re-weighs,Pending,,23/2/2024,micna,dg@kenha.co.ke
Mobile weighbridges data,Realtime generation of mobile weighbridges data,Resolved,23/2/2024,23/1/2024,micna,dg@kenha.co.ke
Invoice Labelling,Invoice Labelling,Resolved,12/3/2024,12/1/2024,micna,dg@kenha.co.ke
Reporting,User level Reporting,Pending,,23/1/2024,micna,dg@kenha.co.ke
Certificate and Release Generation,Certificate and Release Generation,Resolved,,12/2/2024,micna,dg@kenha.co.ke
Relief Vehicle Weighing:,Relief Vehicle Weighing:,Resolved,25/2/2024,12/2/2024,micna,dg@kenha.co.ke
User management,User Guidance and Error Handling,Resolved,25/3/2024,12/2/2024,towuor,dg@kenha.co.ke
Search time,Search Timeframe,Resolved,25/2/2024,23/2/2024,micna,dg@kenha.co.ke
Tags,Tag Autoclose,Resolved,28/3/2024,23/2/2024,zotieno,dg@kenha.co.ke
Image update preservation,Image Update Preservation,Resolved,21/2/2024,23/1/2024,zotieno,dg@kenha.co.ke
Indicator,Clear Indication of Update:,Pending,,12/2/2024,micna,dg@kenha.co.ke
Effective Time Period Indication,Effective Time Period Indication,Pending,,12/2/2024,zotieno,dg@kenha.co.ke
Webuye HSWIM,Integration and configuration of Webuye HSWIM,Resolved,30/4/2024,12/2/2024,zotieno,dg@kenha.co.ke
Password Policy,User management and Password policy,Resolved,22/4/2024,23/2/2024,towuor,dg@kenha.co.ke
Search time,Search,Resolved,25/2/2024,24/2/2024,towuor,dg@kenha.co.ke
Refresh rate,Refresh rate,Resolved,25/3/2024,20/2/2024,zotieno,dg@kenha.co.ke
Auto-weigh,Auto Weigh,Resolved,25/2/2024,20/2/2024,zotieno,dg@kenha.co.ke
Tags,Tags belonging to other weigh bridges that have been untagged still appear tagged in the system,Resolved,,23/2/2023,zotieno,ict@interways.co.ke
